handle,wallet,chain,source
unrealisegenius,0xfcff60b6622c69982f19e713482d2d79b528c572,Base,hodlers+amount+rpc
dutchmytomboy,0x53bd2c94c7b9fea161ed5fd334d858f3a79cd238,Base,hodlers+amount+rpc
theooxoo,0xf7484a642622585ac82f0a77dd816a8f12c8809e,Base,hodlers+amount+rpc
mostwanted_,0xf534b007487e2902468aaeea044875eef407794c,Base,hodlers+amount+rpc
liukai,0xde1cf14df8ee60bff7baa47f44f1fe87d7791de7,Base,hodlers+amount+rpc
cube,0xd4f46eca6e23edd10cbdf5fa6b586afde0338fd4,Base,hodlers+amount+rpc
magicmint,0x442e1aad47010081406637e431161b35f1580523,Base,hodlers+amount+rpc
demturtles,0x5537f686242cd13dd40629d1f3d2df23d22b1928,Base,hodlers+amount+rpc
willicomeback,0x026ddced840a0f6f986584e67ce6258d8019013b,Base,hodlers+amount+rpc
cmafiosoo,0x8b784a9613305387e2552786e7487aff12418c6a,Base,hodlers+amount+rpc
illusionsx,0xead1673b6fae23f742ba63434c23dbc94ffdcde6,Base,hodlers+amount+rpc
ijustgamble7,0x36d17963fb2e9f5a52654db13068b22ec9066baf,Base,hodlers+amount+rpc
c111raul,0x4bf6db428613f98f2e80e50e8df7a519ba191da5,Base,hodlers+amount+rpc
gwyn,0xabe3c99e820795db6481e45e9c7cbc13da320bd0,Base,hodlers+amount+rpc
gastishawn,0x857a4c63951076f9f108cb4776725e07bf551fcd,Base,hodlers+amount+rpc
abbato,0x74117a1214c3c4ac28d981d8ade7b89cd737efb1,Base,hodlers+amount+rpc
itsanaoncrypto,0x096508f5d7efaf41dc653f31d63f7664471344ba,Base,hodlers+amount+rpc
stillfw,0xf076d133d382ecd1955a771aa38693d6910757c2,Base,hodlers+amount+rpc
mudas,0x1d0eae11dd44f00ac893d0b92ebe689d59506333,Base,hodlers+amount+rpc
xrpapi,0x12a6ad5d21b279ea07f9261fbdcc415e4e66c719,Base,hodlers+amount+rpc
clouttifaija,0xa5478f05d3efbe41066078924de1877d5a978b46,Base,hodlers+amount+rpc
valueandtime,0x3263600bec5e9935ddcc805e905b4d81d68f2bf3,Base,hodlers+amount+rpc
gs97z,0x89db8f4fb6421c25dbdb0d3af0d8407df91e400f,Base,hodlers+amount+rpc
oddseerr,0x5d03d08d268743038f0fe6427152c6d0b433fdb0,Base,hodlers+amount+rpc
moggingagi,0xbe479be73dca719d97067b0db4cae9d55c0f5e59,Base,hodlers+amount+rpc
onepeterrr,0xc86896c22c0eeadc1900f6a2e4f9f207d68fb8be,Base,hodlers+amount+rpc
zedot_connector,0xba81e473c0a79aa79b865b1011bae0c7ad41750e,Base,hodlers+amount+rpc
pumpyoass,0x3055e505d63d925af6485c2a3799401b7f22319c,Base,hodlers+amount+rpc
traderwop,0xd186d6bf62d9f7c08e1301ee77729f3a3e4861f5,Base,hodlers+amount+rpc
onchainmetrics,0x4febf9186c71d7ed000510f3da6321e6386c6740,Robinhood,hodlers+amount+rpc
cjwat5on,0xc0f2d453e98aa30064ba8f766a146978419987f3,Robinhood,hodlers+amount+rpc
scudsbtc,0x21f937f1f49e7a382f01625fddb5705c21e16af3,Robinhood,hodlers+amount+rpc
ernestocheguevara,0xf4b46276af39314ad7fc814c277602d105573f47,Robinhood,hodlers+amount+rpc
ooga,0x52e0ae98d2b17f67d016a16b8e3263aa6458765d,Robinhood,hodlers+amount+rpc
picadura,0xa37cd19f9a6fdcc323ba42fa498807b4212222f3,BSC,hodlers+amount+rpc
wukong365,0x021339b32fa1b40c7773f70e5a1835a7fd01de07,BSC,hodlers+amount+rpc
cefuli,0x3bcb117ee6392080db77f95422a4bc8313961963,BSC,hodlers+amount+rpc
painkillerbill,0xe8199013c1ac8fc7bcdae374497ff26cd320c91f,BSC,hodlers+amount+rpc
pedrigavifrenki,0x72c2509fb0bc0284c0a5ec3d57c75ec40f519b37,BSC,hodlers+amount+rpc
smokesonchain,0xedc627978d36163c10e85bd93d6b537fabdd282d,BSC,hodlers+amount+rpc
macrovane,0x4720abd0c4210f7ff9ff995fb54f0d8be9d650aa,BSC,hodlers+amount+rpc
